title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
Studies in catchment hydrology in the Australian Alps. by A.B. Costin ... [et al.],https://trove.nla.gov.au/work/11834597,"Costin, A. B. (Alec Baillie), 1925-",1959-1964,Book/Illustrated|Government publication|Book,http://nla.gov.au/nla.obj-43812837,nla.obj-43812837,,,18,Book,,,
Dr. Paton and the New Hebrides / by Margaret M. Thatcher,https://trove.nla.gov.au/work/11839288,"Thatcher, Margaret M",1924,Book|Book/Illustrated,http://nla.gov.au/nla.obj-367758051,nla.obj-367758051,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,62,Book,,,
"Men of Queensland, 1937",https://trove.nla.gov.au/work/11840489,,1937,Book/Illustrated|Book,http://nla.gov.au/nla.obj-591968616,nla.obj-591968616,,,196,Book,,,
Political manifesto / / Guild of Watchmen of Australia,https://trove.nla.gov.au/work/11840917,Guild of Watchmen of Australia,1930,Book,https://nla.gov.au/nla.obj-52802168,nla.obj-52802168,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,14,Book,,,
Dinkum oil : a volume of original Australian wit and humour / by The Twinkler (Fredk. J. Mills),https://trove.nla.gov.au/work/11842563,"Mills, Frederick J. (Frederick John)",1917,Book,https://nla.gov.au/nla.obj-2250401984,nla.obj-2250401984,,,132,Book,,,
Flame of freedom : the romantic story of the Tolpuddle martyrs / by Owen Rattenbury ; foreword by Arthur Henderson,https://trove.nla.gov.au/work/11843164,"Rattenbury, Owen",1931-1950,Book|Book/Illustrated,https://nla.gov.au/nla.obj-2354399251,nla.obj-2354399251,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,202,Book,,,
Professor Fraser's descriptive chart and phrenological & physiological register,https://trove.nla.gov.au/work/11843518,"Fraser, Joseph",1880-1884,Book,https://nla.gov.au/nla.obj-2618634696,nla.obj-2618634696,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,34,Book,,,
Two golden lilies from the Empire of the Rising Sun / by the Author of the Good cheer series,https://trove.nla.gov.au/work/11843841,Author of the Good cheer series,1891,Book|Book/Illustrated,https://nla.gov.au/nla.obj-715861345,nla.obj-715861345,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,64,Book,,,
An act to prevent doubts as to the application of the statutes of usury,https://trove.nla.gov.au/work/11844294,Van Diemen's Land,1830,Book|Government publication,https://nla.gov.au/nla.obj-2354440710,nla.obj-2354440710,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,2,Book,,,
An act to extend to this colony certain acts of Parliament whereby pecuniary penalties are inflicted which are made applicable only to some local purpose and to facilitate proceedings before Justices of the Peace in such cases,https://trove.nla.gov.au/work/11844406,Van Diemen's Land,1829,Book|Government publication,https://nla.gov.au/nla.obj-2541400749,nla.obj-2541400749,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,4,Book,,,
An act for extending to this colony an act of Parliament passed in the tenth year of the reign of His present Majesty instituted An Act for the relief of His Majesty's Roman Catholic subjects,https://trove.nla.gov.au/work/11844492,Van Diemen's Land,1829,Book|Government publication,https://nla.gov.au/nla.obj-2510701539,nla.obj-2510701539,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,2,Book,,,
An act to remove doubts as to the validity of acts or ordinances in force on the twenty-eighth day of February one thousand eight hundred and twenty nine,https://trove.nla.gov.au/work/11844545,Van Diemen's Land,1829,Book|Government publication,https://nla.gov.au/nla.obj-2398114009,nla.obj-2398114009,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,2,Book,,,
Australien / Vilhelm Rasmussen : udgivet af Studentersfundets Oplysningsforening,https://trove.nla.gov.au/work/11845594,"Rasmussen, Vilhelm",1923,Book|Book/Illustrated,https://nla.gov.au/nla.obj-2383236416,nla.obj-2383236416,Danish,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,88,Book,,,
